,Bagging-Genie3-10,Bagging-Genie3-100,Bagging-Genie3-150,Bagging-Genie3-200,Bagging-Genie3-25,Bagging-Genie3-250,Bagging-Genie3-50,Bagging-Genie3-75,Bagging-RForest-10,Bagging-RForest-100,Bagging-RForest-150,Bagging-RForest-200,Bagging-RForest-25,Bagging-RForest-250,Bagging-RForest-50,Bagging-RForest-75,Bagging-Symbolic-10,Bagging-Symbolic-100,Bagging-Symbolic-150,Bagging-Symbolic-200,Bagging-Symbolic-25,Bagging-Symbolic-250,Bagging-Symbolic-50,Bagging-Symbolic-75,ExtraTrees-Genie3-10,ExtraTrees-Genie3-100,ExtraTrees-Genie3-150,ExtraTrees-Genie3-200,ExtraTrees-Genie3-25,ExtraTrees-Genie3-250,ExtraTrees-Genie3-50,ExtraTrees-Genie3-75,ExtraTrees-Symbolic-10,ExtraTrees-Symbolic-100,ExtraTrees-Symbolic-150,ExtraTrees-Symbolic-200,ExtraTrees-Symbolic-25,ExtraTrees-Symbolic-250,ExtraTrees-Symbolic-50,ExtraTrees-Symbolic-75,RForest-Genie3-10,RForest-Genie3-100,RForest-Genie3-150,RForest-Genie3-200,RForest-Genie3-25,RForest-Genie3-250,RForest-Genie3-50,RForest-Genie3-75,RForest-RForest-10,RForest-RForest-100,RForest-RForest-150,RForest-RForest-200,RForest-RForest-25,RForest-RForest-250,RForest-RForest-50,RForest-RForest-75,RForest-Symbolic-10,RForest-Symbolic-100,RForest-Symbolic-150,RForest-Symbolic-200,RForest-Symbolic-25,RForest-Symbolic-250,RForest-Symbolic-50,RForest-Symbolic-75
Arts1,0.095514,0.11015,0.11015,0.10999,0.10468,0.10902,0.1005,0.10468,0.06448,0.078952,0.080399,0.07863,0.070751,0.078952,0.071716,0.08056,0.14343,0.15678,0.15726,0.15533,0.14504,0.15501,0.15018,0.15485,0.11915,0.11915,0.11915,0.11915,0.11915,0.11915,0.11915,0.11915,0.13218,0.13218,0.1325,0.13218,0.13234,0.13218,0.13234,0.1325,0.11481,0.11401,0.11594,0.10982,0.098569,0.11401,0.10677,0.11851,0.084258,0.079756,0.08876,0.078148,0.048722,0.073484,0.057244,0.082972,0.1132,0.1124,0.12751,0.13507,0.11288,0.12816,0.12832,0.11754
bibtex,0.12463,0.12301,0.12284,0.12154,0.12252,0.12171,0.12236,0.12252,0.096486,0.097136,0.095672,0.096811,0.094696,0.096486,0.095184,0.096974,0.144,0.1575,0.15539,0.15604,0.1479,0.1562,0.1536,0.15783,0.073381,0.073381,0.073381,0.073381,0.073381,0.073381,0.073381,0.073381,0.065083,0.065083,0.065083,0.065083,0.06492,0.06492,0.065083,0.065083,0.11568,0.1165,0.11617,0.11536,0.11568,0.11682,0.11568,0.11552,0.075171,0.078913,0.077774,0.077611,0.077286,0.077123,0.078588,0.0781,0.13033,0.13846,0.14042,0.14042,0.12789,0.14058,0.13846,0.13911
birds,0.095847,0.092652,0.092652,0.092652,0.089457,0.092652,0.092652,0.092652,0.079872,0.089457,0.089457,0.089457,0.089457,0.089457,0.086262,0.086262,0.15335,0.15016,0.15016,0.15016,0.15016,0.15016,0.14696,0.15016,0.1885,0.19489,0.19169,0.19169,0.19169,0.19169,0.1885,0.19169,0.20128,0.19808,0.19808,0.19808,0.19808,0.19808,0.19808,0.19808,0.11821,0.14377,0.13419,0.12141,0.12141,0.12141,0.1278,0.14058,0.092652,0.092652,0.092652,0.092652,0.092652,0.095847,0.095847,0.089457,0.13419,0.19489,0.18211,0.19169,0.19169,0.19808,0.19489,0.17572
Business1,0.57998,0.57941,0.57964,0.57929,0.57861,0.57941,0.58077,0.57907,0.55939,0.55722,0.557,0.55745,0.55791,0.55654,0.55916,0.55654,0.59238,0.59215,0.59124,0.58862,0.59625,0.58931,0.59261,0.59636,0.58771,0.58771,0.58771,0.58771,0.58771,0.58783,0.58771,0.58771,0.59431,0.59443,0.59431,0.59431,0.59443,0.59431,0.59431,0.59443,0.56951,0.56564,0.56621,0.56553,0.56837,0.56598,0.56587,0.56576,0.55552,0.55085,0.55119,0.55188,0.55324,0.55233,0.55245,0.55074,0.58032,0.59306,0.59397,0.5884,0.57941,0.59431,0.58271,0.58567
Computers1,0.34449,0.36766,0.36052,0.36192,0.36203,0.35293,0.37319,0.35813,0.35207,0.36322,0.36755,0.36485,0.36301,0.36236,0.36095,0.36647,0.32315,0.3447,0.34243,0.33626,0.33138,0.3237,0.3316,0.33864,0.35185,0.35185,0.35185,0.35185,0.35185,0.35185,0.35185,0.35185,0.31763,0.31796,0.31785,0.31785,0.31785,0.31796,0.31774,0.31806,0.35467,0.35326,0.35813,0.34611,0.33821,0.33702,0.3747,0.37752,0.34189,0.35315,0.33593,0.34969,0.28687,0.34611,0.35662,0.36268,0.31048,0.34308,0.35066,0.34525,0.32413,0.34319,0.33387,0.3447
corel5k,0.0085082,0.0090754,0.0090754,0.0096427,0.0090754,0.0096427,0.010777,0.0085082,0.0051049,0.0085082,0.007941,0.017584,0.047079,0.018151,0.01021,0.0096427,0.01418,0.020987,0.019285,0.022121,0.019853,0.021554,0.021554,0.019285,0.0085082,0.0085082,0.0085082,0.0085082,0.0085082,0.0085082,0.0085082,0.0085082,0.0062394,0.0062394,0.0062394,0.0062394,0.0062394,0.0062394,0.0062394,0.0062394,0.01418,0.011344,0.010777,0.011912,0.011912,0.012479,0.011344,0.011344,0.0068066,0.0056721,0.0056721,0.0056721,0.0056721,0.0056721,0.0056721,0.0056721,0.01021,0.015882,0.012479,0.013613,0.007941,0.015882,0.013613,0.013046
delicious,0.12285,0.12291,0.12278,0.12293,0.12318,0.12293,0.12295,0.1231,0.10955,0.11016,0.11011,0.10995,0.10981,0.11008,0.11025,0.10993,0.12102,0.12683,0.12628,0.12617,0.12519,0.12667,0.12585,0.12806,0.1301,0.1301,0.1301,0.1301,0.1301,0.1301,0.1301,0.1301,0.10143,0.10135,0.10138,0.10138,0.10135,0.10133,0.10136,0.10136,0.1299,0.13049,0.13015,0.13063,0.12982,0.1305,0.13044,0.13022,0.11079,0.11121,0.11166,0.11113,0.11094,0.11108,0.11169,0.11119,0.11652,0.11753,0.11803,0.11913,0.11833,0.11886,0.11511,0.11519
Education1,0.14253,0.14231,0.14106,0.14015,0.14174,0.14174,0.14083,0.14208,0.079198,0.079764,0.077498,0.077838,0.083617,0.077838,0.078291,0.078178,0.15964,0.16429,0.16644,0.16814,0.16576,0.16791,0.16689,0.16689,0.14548,0.14548,0.14548,0.14548,0.14548,0.14548,0.14548,0.14548,0.16837,0.16837,0.16837,0.16837,0.16837,0.16837,0.16837,0.16837,0.11489,0.11387,0.10854,0.10945,0.11636,0.10922,0.11228,0.11364,0.066168,0.055178,0.050759,0.052345,0.064015,0.053365,0.06107,0.05971,0.11002,0.16553,0.15806,0.14616,0.12746,0.15137,0.1533,0.15783
emotions,0.6792,0.67669,0.67419,0.67669,0.67669,0.67669,0.67419,0.67669,0.6391,0.6391,0.62406,0.62155,0.62657,0.62406,0.63659,0.63659,0.67669,0.66165,0.65664,0.65915,0.66917,0.65664,0.65915,0.66667,0.67168,0.66416,0.66165,0.65915,0.66165,0.66165,0.64411,0.65414,0.66165,0.65915,0.64662,0.65163,0.64662,0.65163,0.65414,0.65664,0.65664,0.6416,0.6416,0.64912,0.65664,0.64912,0.63659,0.64662,0.62907,0.63158,0.62657,0.62657,0.62657,0.62155,0.62657,0.61905,0.66416,0.65664,0.64662,0.64411,0.65915,0.64662,0.66165,0.65915
enron,0.33847,0.34926,0.35285,0.35388,0.34823,0.35388,0.34412,0.34874,0.25732,0.26297,0.264,0.26194,0.26297,0.26297,0.26091,0.26348,0.37083,0.3775,0.37494,0.37596,0.37648,0.3775,0.37134,0.37545,0.34926,0.34926,0.34926,0.34926,0.34926,0.34926,0.34926,0.34926,0.33077,0.33077,0.33077,0.33077,0.33077,0.33077,0.33077,0.33077,0.32049,0.32871,0.33077,0.32666,0.32512,0.32717,0.32409,0.32512,0.26297,0.25167,0.25321,0.25218,0.25886,0.25424,0.25475,0.25321,0.35234,0.3472,0.34771,0.35182,0.35131,0.34206,0.35542,0.36415
Entertainment1,0.24068,0.23914,0.23869,0.23108,0.23847,0.23869,0.24244,0.24608,0.1852,0.15531,0.1552,0.15266,0.17626,0.15255,0.1595,0.15564,0.24575,0.23362,0.23461,0.2323,0.23351,0.23318,0.23186,0.227,0.24465,0.24465,0.24465,0.24465,0.24465,0.24465,0.24465,0.24465,0.24653,0.24675,0.24653,0.24675,0.24675,0.24664,0.24675,0.24653,0.19512,0.19634,0.19678,0.19678,0.19071,0.19876,0.19501,0.19027,0.14328,0.13744,0.14008,0.13931,0.13082,0.14163,0.1381,0.13347,0.19755,0.25061,0.24895,0.23373,0.20042,0.23527,0.21685,0.23737
genbase,0.93878,0.93878,0.93878,0.93878,0.93878,0.93878,0.93878,0.93878,0.93061,0.93061,0.93061,0.93469,0.93061,0.93469,0.93061,0.93061,0.93878,0.93469,0.93469,0.93469,0.93469,0.93469,0.93469,0.93469,0.93061,0.93061,0.93061,0.93061,0.93061,0.93061,0.93061,0.93061,0.84082,0.84082,0.84082,0.84082,0.84082,0.84082,0.84082,0.84082,0.92245,0.93469,0.93469,0.93469,0.93469,0.93469,0.93469,0.93469,0.19592,0.92245,0.92653,0.93061,0.52653,0.93061,0.91429,0.91429,0.88571,0.93061,0.93469,0.93061,0.91837,0.93469,0.92245,0.92653
Health1,0.36379,0.37186,0.37264,0.37316,0.36379,0.37446,0.37069,0.37147,0.31693,0.31329,0.3142,0.31511,0.2922,0.3142,0.3198,0.31784,0.39828,0.40388,0.40713,0.40518,0.3962,0.40141,0.41182,0.40661,0.37915,0.37915,0.37915,0.37915,0.37915,0.37915,0.37915,0.37915,0.40505,0.40544,0.40505,0.40544,0.40544,0.40505,0.40544,0.40531,0.34921,0.35793,0.36197,0.36314,0.31667,0.36171,0.3414,0.34934,0.31329,0.31251,0.32097,0.32162,0.29324,0.3211,0.29246,0.30938,0.3142,0.35611,0.35143,0.33763,0.34296,0.34843,0.35858,0.35546
mediamill,0.44941,0.4489,0.44883,0.44918,0.44915,0.44911,0.44927,0.44934,0.44618,0.44657,0.44649,0.44665,0.44642,0.44667,0.44655,0.44651,0.43085,0.43171,0.43142,0.43136,0.43194,0.43191,0.43221,0.43189,0.44975,0.44904,0.44938,0.44962,0.44946,0.44955,0.44918,0.44901,0.43758,0.43676,0.43823,0.43806,0.43741,0.43857,0.43688,0.43706,0.44811,0.44857,0.44862,0.44887,0.44832,0.44869,0.44862,0.44841,0.44697,0.44648,0.44627,0.44632,0.44671,0.44634,0.44648,0.44644,0.43802,0.44006,0.43973,0.43911,0.43864,0.44022,0.44066,0.44084
medical,0.66029,0.67225,0.67225,0.66507,0.67464,0.66507,0.67225,0.67225,0.45215,0.45694,0.46172,0.46172,0.44976,0.46411,0.46172,0.45933,0.59091,0.59569,0.60766,0.60287,0.5933,0.60526,0.58852,0.59569,0.53589,0.53589,0.53589,0.53589,0.53589,0.53589,0.53589,0.53589,0.28947,0.28947,0.28947,0.28947,0.28947,0.28947,0.28947,0.28947,0.56699,0.59091,0.60287,0.59809,0.58852,0.59569,0.58852,0.58612,0.49282,0.45455,0.45694,0.46411,0.47129,0.46172,0.45215,0.45215,0.45694,0.5,0.51196,0.49761,0.44737,0.53349,0.4689,0.49282
Recreation1,0.1358,0.13316,0.13239,0.13338,0.13327,0.13228,0.13338,0.13206,0.074062,0.079344,0.080885,0.081435,0.077363,0.082315,0.075933,0.076813,0.1402,0.13734,0.14339,0.14361,0.13745,0.14262,0.13492,0.13448,0.13921,0.13701,0.13745,0.13723,0.13811,0.13701,0.13745,0.13745,0.15352,0.19489,0.19467,0.19401,0.18235,0.19346,0.1906,0.18796,0.11148,0.11555,0.11313,0.11412,0.115,0.11368,0.11654,0.11511,0.053263,0.061186,0.060196,0.058875,0.058985,0.058765,0.060636,0.060636,0.13173,0.15946,0.17035,0.17674,0.14174,0.17564,0.14691,0.15781
Reference1,0.37748,0.37305,0.38044,0.38466,0.36819,0.38678,0.36819,0.36734,0.3665,0.38044,0.38297,0.38171,0.37537,0.38192,0.37875,0.37938,0.32066,0.3082,0.31453,0.31411,0.327,0.32129,0.33249,0.30566,0.36755,0.36755,0.36755,0.36755,0.36755,0.36755,0.36755,0.36755,0.27757,0.27757,0.27757,0.27757,0.27757,0.27757,0.27757,0.27757,0.3853,0.4041,0.40452,0.40663,0.39734,0.40642,0.40008,0.4041,0.38466,0.39311,0.39185,0.39206,0.38699,0.39396,0.38995,0.39438,0.28264,0.32721,0.32911,0.29425,0.30123,0.29552,0.32869,0.32573
scene,0.53965,0.55735,0.56197,0.55812,0.54965,0.55812,0.55196,0.55119,0.54811,0.55581,0.55581,0.55966,0.54734,0.56197,0.54888,0.55889,0.48037,0.52348,0.51809,0.51732,0.51347,0.51347,0.51809,0.51655,0.57583,0.57198,0.56274,0.57044,0.56659,0.5689,0.57275,0.5689,0.53272,0.53349,0.53888,0.54965,0.53888,0.54657,0.54349,0.53426,0.5689,0.57121,0.56736,0.57583,0.56736,0.56813,0.57275,0.57198,0.56813,0.5612,0.55735,0.55966,0.55966,0.56274,0.56043,0.55735,0.51578,0.55658,0.5458,0.54273,0.54349,0.54503,0.55658,0.56505
Science1,0.07451,0.074728,0.073203,0.074074,0.073856,0.073203,0.071895,0.077124,0.034641,0.033115,0.034205,0.035294,0.033769,0.034205,0.035076,0.034641,0.098475,0.11068,0.11569,0.11808,0.10523,0.11808,0.11438,0.10871,0.082571,0.082571,0.082571,0.082571,0.082571,0.082571,0.082571,0.082571,0.10523,0.10523,0.10523,0.10523,0.10523,0.10523,0.10523,0.10523,0.039434,0.045316,0.046841,0.045969,0.042484,0.042484,0.040523,0.042048,0.024183,0.024619,0.02549,0.025272,0.025926,0.023747,0.02854,0.027669,0.048148,0.081264,0.075381,0.081481,0.090632,0.085185,0.0939,0.096078
Social1,0.40523,0.40523,0.39664,0.38985,0.40202,0.38767,0.40484,0.40151,0.33205,0.33295,0.33423,0.32513,0.33808,0.33013,0.3441,0.34218,0.40766,0.41471,0.42086,0.42484,0.4042,0.42202,0.41599,0.411,0.40651,0.40651,0.40651,0.40651,0.40651,0.40651,0.40651,0.40651,0.41241,0.41241,0.41241,0.41241,0.41241,0.41241,0.41241,0.41241,0.33795,0.39933,0.40971,0.40984,0.38549,0.40126,0.40267,0.39831,0.31411,0.34999,0.35294,0.34666,0.34435,0.33756,0.35333,0.35243,0.29886,0.38754,0.39177,0.3887,0.35935,0.37127,0.38665,0.39318
Society1,0.25056,0.24757,0.24832,0.24649,0.24292,0.24765,0.24524,0.24715,0.1943,0.20627,0.20926,0.213,0.20519,0.21416,0.20643,0.20344,0.24616,0.24516,0.24823,0.24566,0.23751,0.23751,0.24075,0.24009,0.24541,0.23618,0.23901,0.24034,0.24416,0.23967,0.23843,0.2366,0.2317,0.25289,0.25172,0.24823,0.2435,0.24582,0.24832,0.24774,0.21732,0.23078,0.23344,0.23386,0.23535,0.23294,0.23394,0.23635,0.18699,0.19488,0.20544,0.20701,0.19895,0.2076,0.21158,0.21208,0.22048,0.24566,0.23369,0.23078,0.25389,0.22264,0.25563,0.25106
tmc2007-500,0.53524,0.53582,0.53504,0.53498,0.53511,0.53537,0.53498,0.53594,0.54249,0.54121,0.54069,0.54044,0.54223,0.54069,0.54262,0.54153,0.54666,0.55109,0.55026,0.55193,0.54846,0.55193,0.54859,0.54961,0.48594,0.48594,0.48594,0.48594,0.48594,0.48594,0.48594,0.48594,0.44255,0.44255,0.44255,0.44255,0.44255,0.44255,0.44255,0.44255,0.54968,0.55071,0.55077,0.5516,0.55205,0.55218,0.55103,0.55096,0.54082,0.54172,0.54178,0.54114,0.54012,0.54191,0.5414,0.54185,0.52965,0.55148,0.55398,0.557,0.54217,0.55327,0.55109,0.54994
yeast,0.58451,0.57681,0.57451,0.57374,0.5781,0.5763,0.57835,0.57476,0.5781,0.57425,0.57451,0.57399,0.57553,0.57553,0.57322,0.57605,0.5545,0.55989,0.56271,0.56425,0.55553,0.56553,0.55989,0.56091,0.58246,0.57348,0.57656,0.57681,0.58143,0.57681,0.57835,0.57681,0.56861,0.55399,0.55553,0.56271,0.56476,0.5622,0.56758,0.56476,0.57887,0.5781,0.5763,0.58066,0.57425,0.57784,0.57681,0.57681,0.57912,0.58015,0.5781,0.5781,0.57758,0.57528,0.58117,0.57835,0.56732,0.57399,0.57117,0.57245,0.5645,0.57502,0.57322,0.57092
zbookmarks,0.13334,0.13331,0.13348,0.13345,0.13301,0.13353,0.13331,0.13303,0.12792,0.12803,0.12808,0.12778,0.12794,0.12792,0.12814,0.12828,0.12562,0.1322,0.13292,0.13212,0.12971,0.13173,0.13162,0.13303,0.1174,0.1174,0.1174,0.1174,0.1174,0.1174,0.1174,0.1174,0.094961,0.094961,0.094961,0.094961,0.094961,0.094961,0.094961,0.094961,0.13461,0.13486,0.13486,0.13486,0.13486,0.13486,0.13486,0.13486,0.12742,0.12772,0.12772,0.12772,0.12772,0.12772,0.12772,0.12772,0.12911,0.13323,0.13323,0.13323,0.13323,0.13323,0.13323,0.13323
